chave_curva,chave_familia,codigo_fipe,marca,modelo,ano_modelo,combustivel,data_referencia,mes_referencia,preco_nominal,tipo,valor_fipe,codigo_marca,codigo_modelo,codigo_ano,origem
002141-5|32000|diesel|excluir,toyota|hilux|base|diesel|excluir,002141-5,Toyota,Hilux CD SRX 4x4 2.8 TDI 16V Diesel Aut.,32000,Diesel,2021-11,novembro/2021,250328.000000,usado,,,,,
002141-5|32000|diesel|excluir,toyota|hilux|base|diesel|excluir,002141-5,Toyota,Hilux CD SRX 4x4 2.8 TDI 16V Diesel Aut.,32000,Diesel,2022-05,maio/2022,268316.000000,usado,,,,,
002141-5|32000|diesel|excluir,toyota|hilux|base|diesel|excluir,002141-5,Toyota,Hilux CD SRX 4x4 2.8 TDI 16V Diesel Aut.,32000,Diesel,2022-07,julho/2022,261805.000000,usado,,,,,
002141-5|32000|diesel|excluir,toyota|hilux|base|diesel|excluir,002141-5,Toyota,Hilux CD SRX 4x4 2.8 TDI 16V Diesel Aut.,32000,Diesel,2022-09,setembro/2022,261030.000000,usado,,,,,
002141-5|32000|diesel|excluir,toyota|hilux|base|diesel|excluir,002141-5,Toyota,Hilux CD SRX 4x4 2.8 TDI 16V Diesel Aut.,32000,Diesel,2022-11,novembro/2022,256768.000000,usado,,,,,
002141-5|32000|diesel|excluir,toyota|hilux|base|diesel|excluir,002141-5,Toyota,Hilux CD SRX 4x4 2.8 TDI 16V Diesel Aut.,32000,Diesel,2023-01,janeiro/2023,250613.000000,usado,,,,,
002141-5|32000|diesel|excluir,toyota|hilux|base|diesel|excluir,002141-5,Toyota,Hilux CD SRX 4x4 2.8 TDI 16V Diesel Aut.,32000,Diesel,2023-03,março/2023,246378.000000,usado,,,,,
002141-5|32000|diesel|excluir,toyota|hilux|base|diesel|excluir,002141-5,Toyota,Hilux CD SRX 4x4 2.8 TDI 16V Diesel Aut.,32000,Diesel,2023-05,maio/2023,242041.000000,usado,,,,,
002141-5|32000|diesel|excluir,toyota|hilux|base|diesel|excluir,002141-5,Toyota,Hilux CD SRX 4x4 2.8 TDI 16V Diesel Aut.,32000,Diesel,2023-07,julho/2023,234682.000000,usado,,,,,
002141-5|32000|diesel|excluir,toyota|hilux|base|diesel|excluir,002141-5,Toyota,Hilux CD SRX 4x4 2.8 TDI 16V Diesel Aut.,32000,Diesel,2023-09,setembro/2023,228591.000000,usado,,,,,
002141-5|32000|diesel|excluir,toyota|hilux|base|diesel|excluir,002141-5,Toyota,Hilux CD SRX 4x4 2.8 TDI 16V Diesel Aut.,32000,Diesel,2023-11,novembro/2023,224314.000000,usado,,,,,
002141-5|32000|diesel|excluir,toyota|hilux|base|diesel|excluir,002141-5,Toyota,Hilux CD SRX 4x4 2.8 TDI 16V Diesel Aut.,32000,Diesel,2024-01,janeiro/2024,217358.000000,usado,,,,,
002141-5|32000|diesel|excluir,toyota|hilux|base|diesel|excluir,002141-5,Toyota,Hilux CD SRX 4x4 2.8 TDI 16V Diesel Aut.,32000,Diesel,2024-03,março/2024,217836.000000,usado,,,,,
